"","Species","Region","Time","Value","Metric","northern_latitude"
"1","American plaice","Gulf of Maine / Georges Bank",1979,38007,"Abundance",44.766667
"2","American plaice","Gulf of Maine / Georges Bank",1980,28908,"Abundance",44.383333
"3","American plaice","Gulf of Maine / Georges Bank",1981,25115,"Abundance",44.566667
"4","American plaice","Gulf of Maine / Georges Bank",1982,21149,"Abundance",44.783333
"5","American plaice","Gulf of Maine / Georges Bank",1983,18636,"Abundance",44.783333
"6","American plaice","Gulf of Maine / Georges Bank",1984,11301,"Abundance",44.35
"7","American plaice","Gulf of Maine / Georges Bank",1985,8215,"Abundance",44.733333
"8","American plaice","Gulf of Maine / Georges Bank",1986,8440,"Abundance",44.383333
"9","American plaice","Gulf of Maine / Georges Bank",1987,8533,"Abundance",44.35
"10","American plaice","Gulf of Maine / Georges Bank",1988,8010,"Abundance",44.333333
"11","American plaice","Gulf of Maine / Georges Bank",1989,8216,"Abundance",44.366667
"12","American plaice","Gulf of Maine / Georges Bank",1990,10924,"Abundance",44.333333
"13","American plaice","Gulf of Maine / Georges Bank",1991,11725,"Abundance",44.416667
"14","American plaice","Gulf of Maine / Georges Bank",1992,10242,"Abundance",44.35
"15","American plaice","Gulf of Maine / Georges Bank",1993,9934,"Abundance",44.35
"16","American plaice","Gulf of Maine / Georges Bank",1994,8261,"Abundance",44.333333
"17","American plaice","Gulf of Maine / Georges Bank",1995,8556,"Abundance",44.333333
"18","American plaice","Gulf of Maine / Georges Bank",1996,10082,"Abundance",44.433333
"19","American plaice","Gulf of Maine / Georges Bank",1997,11152,"Abundance",44.416667
"20","American plaice","Gulf of Maine / Georges Bank",1998,9631,"Abundance",44.333333
"21","American plaice","Gulf of Maine / Georges Bank",1999,9992,"Abundance",44.329167
"22","American plaice","Gulf of Maine / Georges Bank",2000,9602,"Abundance",44.305667
"23","American plaice","Gulf of Maine / Georges Bank",2001,7499,"Abundance",44.395035
"24","American plaice","Gulf of Maine / Georges Bank",2002,5947,"Abundance",44.398833
"25","American plaice","Gulf of Maine / Georges Bank",2003,4876,"Abundance",44.376862
"26","American plaice","Gulf of Maine / Georges Bank",2004,4798,"Abundance",44.237935
"27","American plaice","Gulf of Maine / Georges Bank",2005,5534,"Abundance",44.358295
"28","American plaice","Gulf of Maine / Georges Bank",2006,7149,"Abundance",44.31865
"29","American plaice","Gulf of Maine / Georges Bank",2007,9783,"Abundance",44.385102
"30","American plaice","Gulf of Maine / Georges Bank",2008,10726,"Abundance",44.384095
"31","American plaice","Gulf of Maine / Georges Bank",2009,11038,"Abundance",44.387675
"32","American plaice","Gulf of Maine / Georges Bank",2010,11415,"Abundance",44.337065
"33","American plaice","Gulf of Maine / Georges Bank",2011,11635,"Abundance",44.40563
"34","American plaice","Gulf of Maine / Georges Bank",2012,12214,"Abundance",44.328467
"35","American plaice","Gulf of Maine / Georges Bank",2013,13073,"Abundance",44.43004
"36","American plaice","Gulf of Maine / Georges Bank",2014,12952,"Abundance",44.35496
"37","American plaice","Gulf of Maine / Georges Bank",2015,15148,"Abundance",44.365333
"38","American plaice","Gulf of Maine / Georges Bank",2016,24167,"Abundance",44.431068
"39","American plaice","Gulf of Maine / Georges Bank",2017,17748,"Abundance",44.37017
